Period,Date,val
0,2/1/1990,225192.9489
1,3/1/1990,229907.3891
2,4/2/1990,239590.5504
3,5/1/1990,230451.0997
4,6/1/1990,250379.5602
5,7/2/1990,252049.7184
6,8/1/1990,244198.1257
7,10/1/1990,199859.6281
8,11/1/1990,184364.2274
9,12/3/1990,220692.9533
10,2/1/1991,256564.9359
11,3/1/1991,284646.7359
12,4/1/1991,288656.8634
13,5/1/1991,313912.9342
14,6/3/1991,316237.3537
15,7/1/1991,333836.429
16,8/1/1991,332951.4104
17,10/1/1991,351272.0467
18,11/1/1991,334726.3292
19,12/2/1991,326759.0604
20,2/3/1992,363549.4669
21,3/2/1992,349104.0313
22,4/1/1992,333736.4847
23,5/1/1992,347022.7666
24,6/1/1992,332563.7309
25,7/1/1992,335858.6222
26,8/3/1992,309248.1531
27,9/1/1992,293317.5655
28,10/1/1992,306404.1351
29,11/2/1992,325200.8764
30,12/1/1992,337136.8019
31,2/1/1993,7360342.475
32,3/1/1993,7108964.214
33,4/1/1993,7207692.212
34,5/3/1993,7112026.654
35,6/1/1993,7102841.761
36,7/1/1993,7678440.739
37,8/2/1993,7638053.588
38,9/1/1993,7239575.919
39,10/1/1993,7548567.393
40,11/1/1993,6969917.424
41,12/1/1993,6863131.95
42,1/3/1994,6808706.103
43,2/1/1994,7579868.579
44,3/1/1994,6953213.349
45,5/2/1994,7149454.509
46,6/1/1994,7115768.84
47,7/1/1994,6936728.694
48,8/1/1994,7022069.014
49,9/1/1994,7243567.145
50,10/3/1994,6609953.426
51,11/1/1994,6638370.588
52,12/1/1994,6321684.478
53,2/1/1995,6663516.009
54,3/1/1995,7019487.302
55,4/3/1995,7161300.295
56,5/1/1995,7511971.577
57,6/1/1995,8101641.175
58,7/3/1995,8065444.772
59,8/1/1995,7978055.475
60,9/1/1995,8359411.576
61,10/2/1995,9075400.865
62,11/1/1995,9263091.322
63,12/1/1995,9791307.388
64,2/1/1996,11712214.51
65,3/1/1996,12135763.94
66,4/1/1996,11824902.98
67,5/1/1996,11865722.84
68,6/3/1996,13312377.53
69,7/1/1996,13815037.84
70,8/1/1996,13850140.27
71,10/1/1996,14851920.6
72,11/1/1996,15617978.55
73,12/2/1996,16953433.88
74,2/3/1997,17468375.02
75,3/3/1997,18400969.72
76,4/1/1997,16782983.92
77,5/1/1997,17202308.02
78,6/2/1997,17502236.66
79,7/1/1997,18531932.46
80,8/1/1997,20059340.61
81,10/1/1997,20055604.22
82,11/3/1997,20683682.54
83,12/1/1997,21829157.65
84,2/2/1998,23000992.31
85,3/2/1998,23859136.45
86,4/1/1998,24394448.96
87,5/1/1998,24700792.37
88,6/1/1998,24604893.95
89,7/1/1998,28687324.7
90,8/3/1998,28223919.79
91,9/1/1998,23459225.83
92,10/1/1998,25075833.49
93,11/2/1998,36946505.41
94,12/1/1998,41895671.89
95,2/1/1999,52672267.07
96,3/1/1999,56742061.45
97,4/1/1999,59071180.31
98,5/3/1999,58224279.74
99,6/1/1999,49040348.63
100,7/1/1999,50645002.72
101,8/2/1999,45889703.74
102,9/1/1999,47593993.42
103,10/1/1999,49873244.67
104,11/1/1999,61292056.04
105,12/1/1999,60668911.48
106,1/3/2000,57491550.59
107,2/1/2000,64415053.27
108,3/1/2000,57078802.52
109,4/3/2000,71668991.78
110,5/1/2000,66899484.07
111,6/1/2000,39544656.63
112,7/3/2000,34341290.54
113,8/1/2000,35745974.02
114,9/1/2000,38520154.89
115,10/2/2000,46875102.61
116,11/1/2000,45207638.22
117,12/1/2000,43120224.33
118,2/1/2001,54889966.83
119,3/1/2001,49809924.24
120,4/2/2001,45842563.41
121,5/1/2001,49859599.54
122,6/1/2001,40454331.53
123,7/2/2001,40968805.38
124,8/1/2001,36550773.66
125,10/1/2001,36819907.99
126,11/1/2001,37218515.29
127,12/3/2001,36960559.09
128,2/1/2002,72548196.57
129,3/1/2002,71743873.3
130,4/1/2002,77038193.5
131,5/1/2002,69337191.76
132,6/3/2002,67277588.71
133,7/1/2002,59851653.22
134,8/1/2002,52116366.54
135,10/1/2002,49214425.62
136,11/1/2002,58501345.64
137,12/2/2002,57997284.47
138,2/3/2003,54783284.48
139,3/3/2003,52414135.61
140,4/1/2003,55973980.47
141,5/1/2003,61705670.44
142,6/2/2003,63847833.85
143,7/1/2003,67536164.53
144,8/1/2003,66931699.86
145,10/1/2003,70324042.17
146,11/3/2003,70971838.19
147,12/1/2003,69880880.47
148,2/2/2004,72684804.44
149,3/1/2004,73785182.13
150,4/1/2004,81614933.83
151,5/3/2004,77753464.79
152,6/1/2004,75076040.42
153,7/1/2004,79332139.19
154,8/2/2004,78419531.06
155,9/1/2004,81446418.55
156,10/1/2004,80032834.17
157,11/1/2004,80061541.68
158,12/1/2004,81917251.48
159,1/3/2005,84856775.75
160,2/1/2005,86221577.99
161,3/1/2005,84442753.93
162,4/1/2005,79026731.58
163,5/2/2005,82396501.03
164,6/1/2005,83300154.73
165,7/1/2005,79925512.11
166,8/1/2005,76189730.09
167,9/1/2005,75388629.17
168,10/3/2005,76715450.82
169,11/1/2005,77551583.08
170,12/1/2005,83026412.6
171,2/1/2006,80791699.05
172,3/1/2006,87129704.09
173,4/3/2006,88361236.32
174,5/1/2006,93732870.06
175,6/1/2006,92835928.63
176,7/3/2006,91342912.3
177,8/1/2006,93931878.1
178,9/1/2006,94677602.92
179,10/2/2006,97775703.78
180,11/1/2006,98881437.26
181,12/1/2006,97711569.13
182,2/1/2007,103139950.2
183,3/1/2007,97088252.38
184,4/2/2007,98132095.75
185,5/1/2007,103446328.1
186,6/1/2007,103044271.5
187,7/2/2007,98821013.67
188,8/1/2007,92295586.07
189,10/1/2007,96384350.42
190,11/1/2007,84129262.22
191,12/3/2007,81002979.46
192,2/1/2008,79446327.71
193,3/3/2008,66987070.68
194,4/1/2008,72968034.86
195,5/1/2008,74560994.57
196,6/2/2008,63073634.56
197,7/1/2008,51084857.82
198,8/1/2008,63680864.4
199,10/1/2008,83276768.83
200,11/3/2008,60856235.93
201,12/1/2008,39153005.66
202,2/2/2009,36005227.28
203,3/2/2009,26779001.79
204,4/1/2009,36934543.97
205,5/1/2009,45807049.77
206,6/1/2009,58247783.54
207,7/1/2009,59362890.3
208,8/3/2009,70362012.8
209,9/1/2009,74314740.14
210,10/1/2009,63716098.35
211,11/2/2009,60490667.53
212,12/1/2009,63284794.99
213,2/1/2010,63964030.24
214,3/1/2010,70833164.19
215,4/1/2010,80448874.33
216,5/3/2010,83196409.35
217,6/1/2010,70436527.24
218,7/1/2010,64419346.79
219,8/2/2010,70750973.65
220,9/1/2010,63831355.35
221,10/1/2010,65908453.39
222,11/1/2010,63886206.25
223,12/1/2010,65919496.68
224,1/3/2011,75739890.93
225,2/1/2011,78413271.62
226,3/1/2011,75585728.31
227,4/1/2011,74964252.39
228,5/2/2011,70859616.89
229,6/1/2011,64477027.57
230,7/1/2011,67083992.95
231,8/1/2011,62412741.8
232,9/1/2011,55106285.82
233,10/3/2011,46996757.78
234,11/1/2011,51226201.55
235,12/1/2011,50694233.77
236,2/1/2012,59264516.26
237,3/1/2012,73376489.45
238,4/2/2012,80913218.77
239,5/1/2012,77485359.78
240,6/1/2012,62619161.07
241,7/2/2012,69893531.07
242,8/1/2012,69336204.39
243,10/1/2012,66174554.33
244,11/1/2012,68018329.25
245,12/3/2012,65779840.4
246,2/1/2013,73763725.71
247,3/1/2013,73051647.29
248,4/1/2013,76120320.74
249,5/1/2013,78004083.5
250,6/3/2013,85532286.93
251,7/1/2013,84444379.58
252,8/1/2013,91744436
253,10/1/2013,87505739.53
254,11/1/2013,88746825.55
255,12/2/2013,107269494.6
256,2/3/2014,101527011.4
257,3/3/2014,104991843.9
258,4/1/2014,111536452.6
259,5/1/2014,106971011.5
260,6/2/2014,104472444.9
261,7/1/2014,107357066
262,8/1/2014,100761119.8
263,10/1/2014,101397977.1
264,11/3/2014,103775206.2
265,12/1/2014,102749631
266,2/2/2015,97706368.13
267,3/2/2015,108998365.5
268,4/1/2015,104971824.1
269,5/1/2015,113361348.8
270,6/1/2015,115780989.2
271,7/1/2015,122791238.2
272,8/3/2015,125619254.2
273,9/1/2015,109089245.7
274,10/1/2015,108655291.9
275,11/2/2015,116842012.5
276,12/1/2015,119424352.9
277,2/1/2016,103605717.5
278,3/1/2016,100625583.1
279,4/1/2016,100778438.6
280,5/2/2016,106718547.7
281,6/1/2016,108445152.1
282,7/1/2016,96829862.57
283,8/1/2016,98931836.51
284,9/1/2016,103696352.7
285,10/3/2016,96210751.3
286,11/1/2016,100809261.8
287,12/1/2016,118099706.3
288,2/1/2017,131668134
289,3/1/2017,144537292.8
290,4/3/2017,134829238.3
291,5/1/2017,131536907.9
292,6/1/2017,125979617.6
293,7/3/2017,139555257.8
294,8/1/2017,136910057.9
295,9/1/2017,136451105
296,10/2/2017,145516661.9
297,11/1/2017,151531471.8
298,12/1/2017,153056488.2
299,2/1/2018,173562937.8
300,3/1/2018,162220450.1
301,4/2/2018,149092931.2
302,5/1/2018,150425031.7
303,6/1/2018,149864193.6
304,7/2/2018,147715326
305,8/1/2018,160794435.7
306,10/1/2018,153528568.7
307,11/1/2018,146410110.2
308,12/3/2018,148208952.6
309,2/1/2019,137094535.6
310,3/1/2019,136800480.4
311,4/1/2019,136550366.1
312,5/1/2019,145562991.4
313,6/3/2019,132077946.9
314,7/1/2019,142140012.7
315,8/1/2019,140900656.7
316,10/1/2019,141236006.1
317,11/1/2019,154992480.6
318,12/2/2019,157190848.1
319,2/3/2020,155214136.4
320,3/2/2020,139168104.5
321,4/1/2020,96899929.86
